Axi A1 Relic (Intact),
Akstiletto Prime Barrel,Uncommon (11.00%)
Trinity Prime Systems Blueprint,Uncommon (25.33%)
Fragor Prime Head,Uncommon (25.33%)
Dual Kamas Prime Handle,Uncommon (11.00%)
Braton Prime Stock,Uncommon (25.33%)
Nikana Prime Blueprint,Rare (2.00%)
,
Axi A1 Relic (Exceptional),
Akstiletto Prime Barrel,Uncommon (13.00%)
Trinity Prime Systems Blueprint,Uncommon (23.33%)
Fragor Prime Head,Uncommon (23.33%)
Dual Kamas Prime Handle,Uncommon (13.00%)
Braton Prime Stock,Uncommon (23.33%)
Nikana Prime Blueprint,Rare (4.00%)
,
Axi A1 Relic (Flawless),
Akstiletto Prime Barrel,Uncommon (17.00%)
Trinity Prime Systems Blueprint,Uncommon (20.00%)
Fragor Prime Head,Uncommon (20.00%)
Dual Kamas Prime Handle,Uncommon (17.00%)
Braton Prime Stock,Uncommon (20.00%)
Nikana Prime Blueprint,Rare (6.00%)
,
Axi A1 Relic (Radiant),
Akstiletto Prime Barrel,Uncommon (20.00%)
Trinity Prime Systems Blueprint,Uncommon (16.67%)
Fragor Prime Head,Uncommon (16.67%)
Dual Kamas Prime Handle,Uncommon (20.00%)
Braton Prime Stock,Uncommon (16.67%)
Nikana Prime Blueprint,Uncommon (10.00%)
,
Axi A2 Relic (Intact),
Aklex Prime Link,Rare (2.00%)
Aklex Prime Blueprint,Uncommon (11.00%)
Lex Prime Blueprint,Uncommon (11.00%)
Lex Prime Receiver,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
Lex Prime Barrel,Uncommon (25.33%)
,
Axi A2 Relic (Exceptional),
Aklex Prime Link,Rare (4.00%)
Aklex Prime Blueprint,Uncommon (13.00%)
Lex Prime Blueprint,Uncommon (13.00%)
Lex Prime Receiver,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
Lex Prime Barrel,Uncommon (23.33%)
,
Axi A2 Relic (Flawless),
Aklex Prime Link,Rare (6.00%)
Aklex Prime Blueprint,Uncommon (17.00%)
Lex Prime Blueprint,Uncommon (17.00%)
Lex Prime Receiver,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Lex Prime Barrel,Uncommon (20.00%)
,
Axi A2 Relic (Radiant),
Aklex Prime Link,Uncommon (10.00%)
Aklex Prime Blueprint,Uncommon (20.00%)
Lex Prime Blueprint,Uncommon (20.00%)
Lex Prime Receiver,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
Lex Prime Barrel,Uncommon (16.67%)
,
Axi A3 Relic (Intact),
Akbolto Prime Receiver,Rare (2.00%)
Hydroid Prime Neuroptics Blueprint,Uncommon (11.00%)
Cernos Prime String,Uncommon (11.00%)
Braton Prime Barrel,Uncommon (25.33%)
Helios Prime Carapace,Uncommon (25.33%)
Kogake Prime Boot,Uncommon (25.33%)
,
Axi A3 Relic (Exceptional),
Akbolto Prime Receiver,Rare (4.00%)
Hydroid Prime Neuroptics Blueprint,Uncommon (13.00%)
Cernos Prime String,Uncommon (13.00%)
Braton Prime Barrel,Uncommon (23.33%)
Helios Prime Carapace,Uncommon (23.33%)
Kogake Prime Boot,Uncommon (23.33%)
,
Axi A3 Relic (Flawless),
Akbolto Prime Receiver,Rare (6.00%)
Hydroid Prime Neuroptics Blueprint,Uncommon (17.00%)
Cernos Prime String,Uncommon (17.00%)
Braton Prime Barrel,Uncommon (20.00%)
Helios Prime Carapace,Uncommon (20.00%)
Kogake Prime Boot,Uncommon (20.00%)
,
Axi A3 Relic (Radiant),
Akbolto Prime Receiver,Uncommon (10.00%)
Hydroid Prime Neuroptics Blueprint,Uncommon (20.00%)
Cernos Prime String,Uncommon (20.00%)
Braton Prime Barrel,Uncommon (16.67%)
Helios Prime Carapace,Uncommon (16.67%)
